Year,count_pos,count_neg,avg_pos,avg_neg,Strategy,Year,count_pos,count_neg,avg_pos,avg_neg,Strategy,Year,count_pos,count_neg,avg_pos,avg_neg,Strategy
2000,138,110,0.005266386801941283,-0.004530432870171469,CO,2000,122,130,0.011611706531828686,-0.011546430311055797,CC,2000,112,139,0.01005942100236254,-0.010383414734436174,OC
2001,116,129,0.004926275980662386,-0.005604456986591957,CO,2001,124,124,0.01016012155982425,-0.011077318268219774,CC,2001,125,121,0.009717445301067313,-0.00967767272652414,OC
2002,120,130,0.005588977572179793,-0.00601306016375457,CO,2002,119,133,0.012635544934617654,-0.012990259152865705,CC,2002,122,130,0.011345715372675086,-0.011517571770973152,OC
2003,142,107,0.0034467623599996793,-0.004077051747667951,CO,2003,142,108,0.008051999531205608,-0.008310940956624858,CC,2003,134,117,0.007881967846102943,-0.007392119607781595,OC
2004,131,120,0.002663791088978101,-0.0025200931505079977,CO,2004,140,109,0.005276105929274137,-0.00596047291979982,CC,2004,141,108,0.0045894481988655225,-0.00558140672251227,OC
2005,147,105,0.002087544775894537,-0.0016694072722586713,CO,2005,136,113,0.004902080008771944,-0.0055900839172601784,CC,2005,121,130,0.004553480942170101,-0.004982407854080166,OC
2006,128,115,0.0022949530893928323,-0.0018740008769503593,CO,2006,138,113,0.004797790351056408,-0.004674888477187712,CC,2006,142,105,0.004047062380669476,-0.0049537463388348545,OC
2007,139,108,0.0036737513320926002,-0.0035717856223616315,CO,2007,137,113,0.0067343063760713,-0.0077714007206457275,CC,2007,126,123,0.005435158815145476,-0.006253264427211804,OC
2008,130,122,0.00835933945503125,-0.010114595407674168,CO,2008,126,127,0.015467964049446845,-0.018476091073618615,CC,2008,115,136,0.0147856857013776,-0.01437050347188135,OC
2009,140,112,0.00663093042617959,-0.007697572217350725,CO,2009,139,113,0.01180809479874066,-0.012342943421313247,CC,2009,139,110,0.009102668731943896,-0.009838394941107945,OC
2010,132,119,0.005013248587092917,-0.005064827195144576,CO,2010,143,108,0.007500754187015424,-0.008663720460694616,CC,2010,142,108,0.006002953272210746,-0.007184632745152731,OC
2011,129,121,0.00623620542988854,-0.006253484198082377,CO,2011,133,119,0.009819557754911355,-0.010768920636533596,CC,2011,135,116,0.006833264581606617,-0.008095692885333013,OC
2012,131,119,0.003802071346586052,-0.0038501263718838685,CO,2012,136,112,0.00598365688459786,-0.006064742720531734,CC,2012,135,112,0.00478294397855689,-0.004908710104677813,OC
2013,139,111,0.003000272615276399,-0.0029188610700654513,CO,2013,145,104,0.005624722853489248,-0.005281810383664361,CC,2013,153,99,0.0038572595507050237,-0.004445054976382502,OC
2014,143,107,0.0028072629767798064,-0.0028677046516240156,CO,2014,147,105,0.004891969246577381,-0.005769366569864971,CC,2014,140,111,0.003982369998954674,-0.004781871509759466,OC
2015,124,127,0.004223808875850791,-0.004223864970762834,CO,2015,121,131,0.0074889955979987,-0.0068871948643075285,CC,2015,125,124,0.005366291341190002,-0.0054391385800520945,OC
2016,129,113,0.003386395767195591,-0.004105150618966335,CO,2016,136,115,0.005781522978416429,-0.005961742745279585,CC,2016,139,112,0.004562897148770051,-0.004314925437533062,OC
2017,142,96,0.002160523210261557,-0.0019526204648784636,CO,2017,141,109,0.003373306811018401,-0.002716697569776949,CC,2017,134,113,0.0024603237377309683,-0.002412311035369527,OC
2018,140,111,0.0039513996100355815,-0.004063638761346745,CO,2018,132,117,0.006907766726221398,-0.008228970241898384,CC,2018,127,122,0.0057373839654561954,-0.007380028400864233,OC
2019,148,103,0.003625947525646305,-0.00380339675000308,CO,2019,149,103,0.005685660850926921,-0.005691251704096613,CC,2019,138,112,0.004259221412235658,-0.004030151722703409,OC
2020,144,109,0.008448253638830651,-0.009816219108932088,CO,2020,146,107,0.012266402533478651,-0.014806746539246898,CC,2020,147,105,0.007416268404262621,-0.009889670176686731,OC
2021,154,98,0.0034602369220060303,-0.003902282084573786,CO,2021,146,106,0.006309213137216572,-0.00635069366793465,CC,2021,137,114,0.0048468434829557665,-0.00498374898006931,OC
2022,114,137,0.006517660631723837,-0.006500600461249808,CO,2022,108,142,0.013095658556888866,-0.011279519733466898,CC,2022,127,124,0.009787657347964345,-0.01032605107207195,OC
2023,127,122,0.003839091324087022,-0.0037249498837711313,CO,2023,140,109,0.0066489197023054435,-0.006465543914179526,CC,2023,147,103,0.005326340473005567,-0.00583642376273262,OC
2024,77,45,0.0032796603517714,-0.0034697535407338417,CO,2024,71,53,0.005582626915750995,-0.0048692923541937844,CC,2024,67,57,0.004050144542768941,-0.0039067475902824006,OC
max,0.0606779971365201,,,,CO,max,0.1451977228714247,,,,CC,max,0.0843466555606062,,,,OC
min,-0.1044854221118498,,,,CO,min,-0.1094237354049448,,,,CC,min,-0.0899057433736957,,,,OC
median,0.0003938398321913,,,,CO,median,0.0005981412593034,,,,CC,median,0.0005386421887978,,,,OC
mean,0.0002043945586160225,,,,CO,mean,0.0002882952128415923,,,,CC,mean,8.026401560442341e-05,,,,OC
std,0.007084766210427006,,,,CO,std,0.012298928239300165,,,,CC,std,0.00982417979786433,,,,OC
