year,count_positive,count_negative,avg_positive,avg_negative,max_return,min_return,median_return,avg_return,stddev_return,strategy
2000,122,130,0.011611706531828686,-0.011546430311055797,0.0580762250453721,-0.0571923743500866,-0.0006549118811439,-0.0003349513633101354,0.01509257283483423,CC
2001,124,124,0.01016012155982425,-0.011077318268219774,0.0480349344978165,-0.0522489762884941,4.902728372499997e-06,-0.0004585983541977618,0.01393655468440818,CC
2002,119,133,0.012635544934617654,-0.012990259152865705,0.059662344647104,-0.0381346703699183,-0.0014279931443066502,-0.0008891850004430083,0.016654328296135182,CC
2003,142,108,0.008051999531205608,-0.008310940956624858,0.0345423530235593,-0.0332329183493961,0.00159686196729865,0.0009754059925226649,0.010412058110081742,CC
2004,140,109,0.005276105929274137,-0.00596047291979982,0.0169112325834122,-0.018452145914153,0.00074540403455385,0.0003530288961912644,0.007072362918472572,CC
2005,136,113,0.004902080008771944,-0.0055900839172601784,0.0194200265835451,-0.0176156339276591,0.0008237084183868001,0.0001389023751689847,0.006516430765377237,CC
2006,138,113,0.004797790351056408,-0.004674888477187712,0.0212145971383159,-0.0190240440098837,0.00061266526216,0.0005331978905321623,0.006349802786236723,CC
2007,137,113,0.0067343063760713,-0.0077714007206457275,0.0319842696523389,-0.0390576444200729,0.0004196807203138,0.00017701869358087893,0.009996807280465541,CC
2008,126,127,0.015467964049446845,-0.018476091073618615,0.1451977228714247,-0.098447691349764,-0.0002219337109066,-0.0015711466249773206,0.025985100993960526,CC
2009,139,113,0.01180809479874066,-0.012342943421313247,0.0718289949418833,-0.0527862449170256,0.0014727829793339,0.0009784625810180746,0.01682090200067243,CC
2010,143,108,0.007500754187015424,-0.008663720460694616,0.0440409979489231,-0.0377594948106669,0.0006929834182494499,0.0005433572975721701,0.011318019353951873,CC
2011,133,119,0.009819557754911355,-0.010768920636533596,0.0464992082787287,-0.0651232476314123,0.0007721525451994001,9.722073672901691e-05,0.014495868889133054,CC
2012,136,112,0.00598365688459786,-0.006064742720531734,0.0249266735803688,-0.0251768276250119,0.000422321285047,0.0005381046064230192,0.008063726530216545,CC
2013,145,104,0.005624722853489248,-0.005281810383664361,0.0256301790788839,-0.0247782387725603,0.0013140628545613002,0.0010566529121224107,0.0070117760658917295,CC
2014,147,105,0.004891969246577381,-0.005769366569864971,0.0247287063739001,-0.0225053017828582,0.00090103392753535,0.00044974598972640124,0.007108617227801048,CC
2015,121,131,0.0074889955979987,-0.0068871948643075285,0.0383937751768588,-0.0421068682907279,-0.0002721286202754,1.5658492593478165e-05,0.009811369324820287,CC
2016,136,115,0.005781522978416429,-0.005961742745279585,0.0243773496667167,-0.0359090752483199,0.00046455561720235,0.00039955043395826156,0.00827384645446904,CC
2017,141,109,0.003373306811018401,-0.002716697569776949,0.0139975368609417,-0.0177440622890102,0.0005048387225166,0.0007152040846530164,0.004265297677283199,CC
2018,132,117,0.006907766726221398,-0.008228970241898384,0.0505248635440735,-0.0418225413712867,0.0002929589152227,-0.0002030450615174757,0.010792815906643709,CC
2019,149,103,0.005685660850926921,-0.005691251704096613,0.0334957309319656,-0.0300730911756202,0.00081711125352305,0.0010355735764530165,0.007906030896369364,CC
2020,146,107,0.012266402533478651,-0.014806746539246898,0.0906032618288468,-0.1094237354049448,0.0022598570981489,0.000816493637108557,0.021111334867473894,CC
2021,146,106,0.006309213137216572,-0.00635069366793465,0.0242401976437693,-0.0244404613824504,0.00133638766796225,0.0009840142429862957,0.008255724195031516,CC
2022,108,142,0.013095658556888866,-0.011279519733466898,0.054954153075837,-0.0434824806290198,-0.0018129753446093,-0.0007464568844952265,0.015287835402801396,CC
2023,140,109,0.0066489197023054435,-0.006465543914179526,0.0229321038997309,-0.0200609272499801,0.0007125700120686499,0.0009044178867087754,0.008308169491644785,CC
2024,71,53,0.005582626915750995,-0.0048692923541937844,0.0206954983241753,-0.0163173206351764,0.00086059304985105,0.001115274324564919,0.006790382844807412,CC
