Year,Merged_MC,MC_CC,QQ_CC,QQ_CO,MC_CO,MC_OC
2000,493.0,82.0,24.0,22.0,1.0,8.0
2001,367.0,73.0,23.0,8.0,23.0,31.0
2002,238.0,35.0,26.0,18.0,50.0,39.0
2003,203.0,23.0,26.0,29.0,27.0,53.0
2004,2.0,0.0,26.0,36.0,2.0,0.0
2005,72.0,0.0,38.0,26.0,10.0,23.0
2006,186.0,4.0,10.0,36.0,6.0,75.0
2007,58.0,0.0,8.0,12.0,34.0,12.0
2008,476.0,63.0,23.0,31.0,12.0,13.0
2009,188.0,35.0,7.0,39.0,48.0,25.0
2010,2.0,0.0,10.0,32.0,2.0,0.0
2011,14.0,2.0,29.0,49.0,14.0,0.0
2012,64.0,6.0,28.0,37.0,54.0,4.0
2013,6.0,0.0,11.0,4.0,6.0,0.0
2014,0.0,0.0,16.0,6.0,0.0,0.0
2015,106.0,33.0,32.0,32.0,58.0,40.0
2016,307.0,47.0,31.0,18.0,83.0,32.0
2017,83.0,0.0,5.0,18.0,35.0,6.0
2018,82.0,0.0,27.0,15.0,0.0,46.0
2019,78.0,0.0,21.0,11.0,0.0,54.0
2020,0.0,0.0,2.0,0.0,0.0,0.0
2021,0.0,0.0,12.0,6.0,0.0,0.0
2022,105.0,19.0,23.0,25.0,15.0,6.0
2023,455.0,33.0,35.0,25.0,21.0,8.0
2024,10.0,0.0,2.0,0.0,10.0,0.0
$\max$,493.0,82.0,38.0,49.0,83.0,75.0
$\min$,0.0,0.0,2.0,0.0,0.0,0.0
$M$,82.0,2.0,23.0,22.0,12.0,8.0
$\mu$,143.8,18.2,19.8,21.4,20.44,19.0
$\sigma$,159.60393687709168,25.43291830155032,10.618380290797651,13.397761006974262,22.77988879106598,21.631381524689232
